customer_id,total_watch_count,action_watch,drama_watch,comedy_watch,age_group,membership_type,prefer_action
1,39.0,3.0,6.0,11.0,20대,스탠다드,선호
2,21.0,9.0,16.0,3.0,30대,스탠다드,선호
3,53.0,4.0,12.0,10.0,40대이상,베이직,비선호
4,31.0,9.0,4.0,8.0,20대,프리미엄,비선호
5,47.0,2.0,22.0,4.0,20대,베이직,비선호
6,28.0,4.0,0.0,11.0,40대이상,스탠다드,비선호
7,24.0,7.0,14.0,0.0,30대,베이직,선호
8,18.0,0.0,15.0,5.0,40대이상,프리미엄,비선호
9,69.0,6.0,3.0,3.0,20대,스탠다드,선호
10,35.0,2.0,24.0,7.0,30대,스탠다드,선호
11,34.0,12.0,21.0,0.0,30대,베이직,선호
12,39.0,13.0,16.0,9.0,20대,베이직,선호
13,89.0,-0.0,11.0,10.0,30대,스탠다드,비선호
14,36.0,4.0,0.0,0.0,30대,베이직,선호
15,51.0,12.0,1.0,19.0,30대,스탠다드,선호
16,36.0,19.0,14.0,7.0,10대,스탠다드,선호
17,37.0,10.0,15.0,11.0,20대,스탠다드,선호
18,68.0,12.0,11.0,9.0,30대,베이직,선호
19,51.0,5.0,5.0,16.0,20대,스탠다드,선호
20,43.0,13.0,16.0,0.0,40대이상,프리미엄,선호
21,26.0,7.0,10.0,10.0,40대이상,베이직,비선호
22,60.0,0.0,4.0,4.0,30대,베이직,비선호
23,43.0,17.0,0.0,9.0,20대,스탠다드,선호
24,64.0,10.0,13.0,7.0,40대이상,스탠다드,선호
25,12.0,20.0,4.0,10.0,20대,프리미엄,선호
26,64.0,6.0,15.0,13.0,30대,베이직,비선호
27,30.0,12.0,13.0,4.0,40대이상,스탠다드,선호
28,27.0,6.0,4.0,6.0,30대,베이직,비선호
29,47.0,14.0,19.0,6.0,20대,프리미엄,선호
30,17.0,22.0,17.0,12.0,30대,프리미엄,선호
31,58.0,11.0,13.0,10.0,30대,스탠다드,선호
32,55.0,6.0,3.0,12.0,30대,프리미엄,비선호
33,29.0,13.0,0.0,4.0,40대이상,스탠다드,선호
34,34.0,9.0,1.0,2.0,30대,베이직,선호
35,43.0,13.0,12.0,5.0,20대,스탠다드,선호
36,44.0,17.0,14.0,13.0,40대이상,베이직,선호
37,32.0,4.0,18.0,7.0,30대,베이직,선호
38,32.0,0.0,8.0,8.0,40대이상,베이직,비선호
39,21.0,14.0,20.0,4.0,40대이상,스탠다드,선호
40,55.0,5.0,5.0,3.0,20대,베이직,선호
41,47.0,8.0,23.0,5.0,20대,프리미엄,선호
42,32.0,9.0,14.0,9.0,30대,스탠다드,선호
43,29.0,19.0,13.0,9.0,20대,베이직,선호
44,14.0,18.0,5.0,4.0,20대,스탠다드,선호
45,22.0,10.0,11.0,14.0,30대,스탠다드,비선호
46,47.0,7.0,7.0,7.0,20대,베이직,선호
47,47.0,17.0,8.0,-0.0,10대,베이직,선호
48,43.0,7.0,9.0,9.0,20대,베이직,비선호
49,55.0,5.0,1.0,20.0,20대,프리미엄,선호
50,23.0,4.0,11.0,6.0,40대이상,프리미엄,비선호
51,50.0,5.0,19.0,13.0,40대이상,프리미엄,선호
52,39.0,13.0,10.0,6.0,30대,베이직,선호
53,48.0,11.0,18.0,1.0,20대,스탠다드,선호
54,24.0,12.0,0.0,8.0,30대,베이직,선호
55,55.0,1.0,5.0,12.0,30대,베이직,비선호
56,7.0,18.0,3.0,0.0,40대이상,프리미엄,선호
57,70.0,7.0,10.0,7.0,20대,베이직,선호
58,60.0,8.0,10.0,9.0,30대,스탠다드,선호
59,32.0,15.0,0.0,1.0,30대,베이직,선호
60,31.0,6.0,13.0,8.0,10대,스탠다드,비선호
61,35.0,1.0,25.0,0.0,10대,스탠다드,비선호
62,63.0,10.0,9.0,0.0,40대이상,스탠다드,선호
63,37.0,12.0,9.0,4.0,30대,스탠다드,선호
64,34.0,9.0,13.0,6.0,30대,프리미엄,선호
65,24.0,8.0,7.0,7.0,10대,프리미엄,비선호
66,17.0,0.0,8.0,6.0,20대,스탠다드,비선호
67,27.0,6.0,-0.0,0.0,30대,스탠다드,선호
68,25.0,5.0,5.0,5.0,10대,프리미엄,선호
69,44.0,7.0,4.0,4.0,10대,베이직,비선호
70,50.0,19.0,6.0,0.0,30대,스탠다드,선호
71,40.0,10.0,13.0,10.0,20대,프리미엄,선호
72,38.0,9.0,5.0,3.0,10대,프리미엄,선호
73,80.0,0.0,16.0,3.0,10대,프리미엄,비선호
74,46.0,6.0,7.0,9.0,10대,스탠다드,선호
75,50.0,11.0,12.0,7.0,40대이상,스탠다드,선호
76,37.0,11.0,7.0,4.0,40대이상,스탠다드,선호
77,44.0,13.0,23.0,6.0,40대이상,베이직,선호
78,33.0,8.0,9.0,5.0,30대,프리미엄,비선호
79,30.0,4.0,5.0,3.0,30대,베이직,선호
80,31.0,21.0,3.0,-0.0,20대,베이직,비선호
81,36.0,18.0,14.0,3.0,,베이직,선호
82,26.0,4.0,11.0,4.0,30대,베이직,비선호
83,23.0,7.0,6.0,8.0,20대,스탠다드,선호
84,49.0,11.0,5.0,4.0,20대,스탠다드,비선호
85,34.0,0.0,5.0,3.0,30대,스탠다드,비선호
86,50.0,7.0,8.0,0.0,30대,베이직,비선호
87,46.0,16.0,9.0,4.0,20대,베이직,선호
88,59.0,12.0,11.0,4.0,30대,베이직,선호
89,40.0,1.0,13.0,12.0,20대,프리미엄,선호
90,38.0,1.0,4.0,13.0,20대,프리미엄,비선호
91,17.0,6.0,11.0,5.0,20대,스탠다드,비선호
92,44.0,11.0,9.0,5.0,20대,스탠다드,선호
93,52.0,3.0,10.0,6.0,20대,프리미엄,선호
94,53.0,4.0,12.0,3.0,30대,스탠다드,비선호
95,67.0,17.0,18.0,11.0,30대,베이직,선호
96,44.0,6.0,8.0,6.0,30대,베이직,선호
97,42.0,14.0,6.0,9.0,10대,베이직,선호
98,35.0,1.0,13.0,5.0,40대이상,프리미엄,비선호
99,31.0,6.0,8.0,12.0,30대,스탠다드,선호
100,47.0,15.0,14.0,6.0,10대,베이직,선호
101,50.0,3.0,18.0,11.0,10대,스탠다드,선호
102,12.0,18.0,11.0,3.0,20대,베이직,선호
103,42.0,13.0,14.0,4.0,20대,베이직,선호
104,42.0,5.0,16.0,-0.0,20대,베이직,선호
105,48.0,13.0,6.0,13.0,30대,스탠다드,선호
