customer_id,avg_spend,visit_count,membership_month,age_group,membership_type,revisit
1,3526.0,1.0,14.0,30대,골드,비재방문
2,6449.0,7.0,10.0,30대,실버,재방문
3,5072.0,4.0,10.0,40대,일반,비재방문
4,8371.0,4.0,13.0,40대,일반,재방문
5,10234.0,2.0,15.0,30대,일반,재방문
6,4062.0,6.0,11.0,40대,일반,재방문
7,7279.0,4.0,11.0,40대,일반,재방문
8,7619.0,3.0,0.0,30대,골드,재방문
9,6063.0,4.0,13.0,40대,실버,재방문
10,6308.0,8.0,20.0,20대,일반,재방문
11,11519.0,8.0,9.0,20대,일반,재방문
12,9976.0,6.0,10.0,30대,일반,재방문
13,4755.0,-0.0,8.0,30대,실버,재방문
14,3253.0,6.0,6.0,30대,골드,재방문
15,7014.0,5.0,8.0,50대이상,일반,재방문
16,5971.0,6.0,12.0,20대,실버,재방문
17,8691.0,2.0,7.0,50대이상,실버,비재방문
18,8586.0,10.0,9.0,40대,실버,재방문
19,6323.0,4.0,-0.0,30대,실버,재방문
20,9333.0,7.0,6.0,40대,골드,재방문
21,6188.0,5.0,9.0,50대이상,일반,재방문
22,10282.0,2.0,10.0,50대이상,일반,비재방문
23,9507.0,2.0,9.0,30대,일반,재방문
24,4671.0,1.0,15.0,20대,골드,비재방문
25,5489.0,3.0,15.0,20대,일반,재방문
26,6627.0,7.0,18.0,40대,실버,재방문
27,3472.0,10.0,14.0,20대,일반,재방문
28,5410.0,4.0,2.0,40대,일반,재방문
29,5173.0,7.0,13.0,50대이상,실버,재방문
30,8852.0,2.0,1.0,50대이상,골드,재방문
31,8239.0,6.0,12.0,40대,일반,재방문
32,4996.0,6.0,12.0,30대,골드,재방문
33,7286.0,5.0,16.0,50대이상,실버,재방문
34,7438.0,5.0,9.0,30대,골드,재방문
35,8582.0,4.0,7.0,20대,골드,재방문
36,6517.0,8.0,12.0,40대,일반,재방문
37,8192.0,6.0,14.0,40대,일반,재방문
38,11298.0,1.0,2.0,30대,실버,재방문
39,9185.0,6.0,6.0,50대이상,일반,재방문
40,11270.0,3.0,14.0,30대,골드,재방문
41,7721.0,3.0,4.0,40대,실버,재방문
42,6705.0,6.0,20.0,20대,일반,재방문
43,16029.0,8.0,4.0,30대,일반,재방문
44,8755.0,5.0,15.0,50대이상,실버,재방문
45,7670.0,6.0,5.0,40대,골드,재방문
46,10193.0,6.0,10.0,30대,일반,재방문
47,6683.0,5.0,14.0,20대,골드,재방문
48,6390.0,5.0,0.0,30대,실버,비재방문
49,9782.0,1.0,6.0,30대,실버,재방문
50,5948.0,7.0,8.0,,일반,재방문
51,3923.0,10.0,3.0,30대,일반,재방문
52,8444.0,7.0,8.0,40대,실버,재방문
53,9991.0,7.0,13.0,40대,실버,재방문
54,10047.0,0.0,4.0,20대,일반,재방문
55,7275.0,2.0,6.0,50대이상,일반,재방문
56,10663.0,4.0,6.0,20대,실버,재방문
57,6309.0,5.0,2.0,20대,골드,재방문
58,4224.0,5.0,13.0,30대,일반,재방문
59,7504.0,6.0,9.0,20대,일반,재방문
60,12597.0,5.0,17.0,30대,일반,재방문
61,12575.0,1.0,16.0,40대,골드,재방문
62,7079.0,6.0,5.0,50대이상,일반,재방문
63,5888.0,7.0,4.0,50대이상,실버,비재방문
64,6581.0,4.0,11.0,20대,일반,비재방문
65,11568.0,5.0,2.0,20대,실버,재방문
66,6712.0,4.0,7.0,20대,일반,재방문
67,6134.0,3.0,19.0,20대,일반,비재방문
68,11478.0,1.0,11.0,20대,일반,재방문
69,8698.0,3.0,6.0,30대,일반,재방문
70,5157.0,4.0,0.0,20대,실버,재방문
71,4963.0,7.0,17.0,,실버,재방문
72,4178.0,2.0,9.0,20대,일반,비재방문
73,10555.0,1.0,10.0,30대,실버,재방문
74,6816.0,3.0,12.0,30대,일반,재방문
75,11132.0,0.0,1.0,50대이상,실버,비재방문
76,4174.0,4.0,11.0,30대,골드,재방문
77,5600.0,11.0,13.0,30대,일반,재방문
78,6071.0,5.0,4.0,40대,실버,재방문
79,7754.0,4.0,10.0,50대이상,실버,재방문
80,8977.0,6.0,7.0,30대,일반,재방문
81,10980.0,4.0,8.0,20대,골드,재방문
82,9518.0,3.0,4.0,30대,일반,재방문
83,7159.0,3.0,2.0,40대,일반,재방문
84,7448.0,3.0,19.0,30대,실버,재방문
85,10261.0,6.0,10.0,20대,골드,재방문
86,9819.0,6.0,5.0,40대,실버,재방문
87,3806.0,4.0,10.0,30대,실버,재방문
88,12683.0,6.0,16.0,20대,일반,재방문
89,8823.0,3.0,7.0,50대이상,일반,재방문
90,11350.0,8.0,8.0,20대,일반,재방문
91,10680.0,8.0,8.0,20대,일반,재방문
92,9035.0,0.0,12.0,40대,일반,재방문
93,6684.0,1.0,15.0,50대이상,골드,비재방문
94,6520.0,4.0,11.0,20대,골드,재방문
95,11454.0,9.0,8.0,20대,일반,재방문
96,5020.0,6.0,7.0,20대,골드,재방문
97,6056.0,8.0,24.0,30대,골드,재방문
98,4780.0,5.0,21.0,40대,실버,재방문
99,2183.0,7.0,10.0,20대,일반,비재방문
100,7886.0,6.0,17.0,50대이상,일반,재방문
101,7395.0,4.0,7.0,20대,일반,재방문
102,8704.0,4.0,9.0,30대,일반,재방문
103,9254.0,10.0,11.0,40대,실버,재방문
104,4278.0,6.0,6.0,40대,일반,재방문
105,7080.0,5.0,6.0,20대,골드,재방문
106,10541.0,9.0,2.0,30대,일반,재방문
107,9625.0,4.0,8.0,50대이상,일반,재방문
108,8684.0,4.0,1.0,40대,골드,재방문
109,7635.0,9.0,10.0,20대,골드,재방문
110,8912.0,7.0,3.0,20대,일반,재방문
111,6828.0,1.0,8.0,50대이상,실버,재방문
112,8256.0,5.0,19.0,30대,실버,재방문
113,10981.0,6.0,0.0,40대,골드,재방문
114,10807.0,4.0,4.0,50대이상,실버,재방문
115,8893.0,10.0,3.0,40대,일반,재방문
116,5537.0,5.0,12.0,30대,일반,재방문
117,11777.0,5.0,15.0,20대,실버,재방문
118,7551.0,6.0,8.0,40대,실버,재방문
119,6363.0,4.0,13.0,30대,일반,재방문
120,11052.0,10.0,12.0,20대,골드,재방문
121,4815.0,5.0,6.0,20대,일반,재방문
122,7337.0,7.0,11.0,50대이상,일반,재방문
123,9895.0,3.0,2.0,50대이상,일반,재방문
124,7434.0,3.0,2.0,20대,실버,재방문
125,9424.0,4.0,4.0,20대,일반,재방문
126,5370.0,3.0,12.0,20대,일반,재방문
127,8761.0,8.0,13.0,30대,골드,재방문
128,6005.0,9.0,5.0,20대,일반,재방문
129,11095.0,9.0,0.0,50대이상,실버,재방문
130,9562.0,9.0,1.0,20대,골드,재방문
131,13509.0,3.0,13.0,30대,실버,재방문
132,8165.0,2.0,6.0,20대,골드,재방문
133,7337.0,7.0,3.0,40대,실버,재방문
134,7249.0,8.0,4.0,20대,일반,재방문
135,4528.0,5.0,-0.0,20대,골드,재방문
136,8660.0,0.0,19.0,20대,일반,재방문
137,11353.0,5.0,9.0,40대,일반,재방문
138,11663.0,7.0,12.0,20대,일반,재방문
139,7475.0,6.0,1.0,30대,일반,재방문
140,10240.0,5.0,7.0,30대,골드,재방문
141,6353.0,5.0,16.0,30대,실버,재방문
142,10145.0,6.0,5.0,30대,일반,재방문
143,8122.0,4.0,12.0,30대,일반,재방문
144,9626.0,1.0,13.0,40대,일반,재방문
145,4843.0,2.0,3.0,,일반,재방문
146,5481.0,9.0,14.0,30대,일반,재방문
147,5121.0,7.0,8.0,20대,일반,재방문
148,9187.0,3.0,9.0,30대,실버,재방문
149,5870.0,4.0,6.0,20대,일반,재방문
150,5502.0,0.0,17.0,30대,일반,재방문
151,9183.0,6.0,15.0,20대,골드,재방문
152,9757.0,5.0,6.0,20대,골드,재방문
153,11373.0,6.0,11.0,40대,일반,재방문
154,8314.0,5.0,13.0,40대,일반,재방문
155,2735.0,0.0,6.0,50대이상,일반,재방문
156,5186.0,3.0,25.0,30대,실버,비재방문
157,5138.0,5.0,3.0,40대,일반,재방문
158,6874.0,7.0,4.0,30대,일반,재방문
159,5910.0,5.0,12.0,30대,실버,재방문
160,5869.0,5.0,16.0,30대,일반,재방문
161,5848.0,4.0,8.0,30대,일반,재방문
162,6572.0,9.0,4.0,40대,실버,재방문
163,5585.0,6.0,12.0,30대,일반,재방문
164,7362.0,5.0,16.0,,골드,재방문
165,7838.0,7.0,6.0,50대이상,일반,비재방문
166,6934.0,1.0,11.0,20대,일반,재방문
167,8184.0,6.0,5.0,20대,일반,재방문
168,7410.0,7.0,13.0,30대,실버,재방문
169,7728.0,7.0,7.0,20대,실버,재방문
170,7389.0,5.0,12.0,50대이상,일반,재방문
171,4275.0,10.0,16.0,40대,실버,재방문
172,8955.0,2.0,12.0,20대,골드,비재방문
173,4842.0,5.0,0.0,40대,실버,재방문
174,7489.0,5.0,19.0,30대,골드,재방문
175,12565.0,8.0,7.0,40대,일반,재방문
176,6988.0,4.0,5.0,40대,일반,비재방문
177,4817.0,8.0,7.0,30대,실버,재방문
178,8658.0,10.0,16.0,50대이상,일반,재방문
179,8412.0,2.0,6.0,20대,실버,재방문
180,7799.0,7.0,8.0,50대이상,실버,비재방문
181,9588.0,0.0,9.0,30대,일반,비재방문
182,8554.0,2.0,4.0,30대,일반,재방문
183,5918.0,4.0,6.0,30대,일반,재방문
184,7340.0,4.0,2.0,20대,일반,재방문
185,9172.0,8.0,13.0,30대,일반,비재방문
186,9222.0,1.0,4.0,20대,골드,재방문
187,11283.0,5.0,14.0,50대이상,골드,재방문
188,9957.0,5.0,16.0,50대이상,일반,재방문
189,9886.0,6.0,24.0,30대,일반,재방문
190,3389.0,5.0,7.0,30대,일반,재방문
191,11569.0,9.0,10.0,20대,골드,재방문
192,7859.0,7.0,4.0,30대,골드,재방문
193,7809.0,5.0,13.0,30대,일반,재방문
194,4567.0,6.0,11.0,,일반,재방문
195,6269.0,2.0,12.0,40대,일반,재방문
196,4788.0,9.0,15.0,50대이상,실버,재방문
197,8700.0,9.0,25.0,30대,일반,재방문
198,6647.0,3.0,19.0,30대,실버,재방문
199,6510.0,3.0,7.0,30대,실버,재방문
200,5315.0,6.0,10.0,20대,일반,재방문
201,10148.0,4.0,10.0,30대,골드,재방문
202,4644.0,3.0,7.0,50대이상,실버,재방문
203,9110.0,7.0,7.0,50대이상,일반,재방문
204,6870.0,6.0,4.0,20대,실버,재방문
205,9978.0,6.0,17.0,30대,골드,재방문
206,9495.0,5.0,12.0,30대,일반,재방문
207,7863.0,4.0,5.0,40대,실버,재방문
208,5295.0,2.0,20.0,50대이상,일반,재방문
209,6187.0,6.0,26.0,20대,일반,재방문
210,6037.0,8.0,16.0,30대,일반,재방문
211,5631.0,0.0,14.0,20대,일반,재방문
212,8591.0,3.0,7.0,20대,일반,재방문
213,9222.0,1.0,6.0,20대,일반,재방문
214,6225.0,3.0,5.0,30대,일반,비재방문
215,8311.0,3.0,15.0,50대이상,일반,재방문
216,7125.0,6.0,12.0,20대,실버,재방문
217,5646.0,4.0,2.0,20대,실버,비재방문
218,11032.0,2.0,12.0,20대,일반,재방문
219,7478.0,3.0,0.0,30대,실버,재방문
220,6364.0,-0.0,1.0,20대,실버,재방문
221,4775.0,6.0,12.0,30대,골드,재방문
222,7073.0,4.0,8.0,40대,실버,재방문
223,3686.0,4.0,4.0,20대,일반,비재방문
224,11312.0,5.0,4.0,30대,실버,재방문
225,9302.0,7.0,9.0,20대,일반,재방문
226,6157.0,7.0,11.0,30대,실버,재방문
227,8449.0,0.0,0.0,30대,실버,비재방문
228,7202.0,4.0,6.0,20대,일반,비재방문
229,4097.0,5.0,17.0,30대,일반,재방문
230,6803.0,7.0,22.0,20대,실버,비재방문
231,10574.0,5.0,16.0,40대,골드,재방문
232,10297.0,9.0,6.0,40대,골드,재방문
233,6747.0,4.0,14.0,20대,일반,재방문
234,6672.0,6.0,18.0,20대,일반,재방문
235,1762.0,6.0,10.0,20대,실버,재방문
236,8746.0,8.0,9.0,30대,일반,재방문
237,9674.0,0.0,0.0,30대,골드,비재방문
238,10478.0,3.0,24.0,50대이상,일반,재방문
239,9740.0,2.0,13.0,30대,실버,재방문
240,2480.0,9.0,7.0,20대,일반,재방문
241,7811.0,-0.0,1.0,20대,일반,비재방문
242,10216.0,4.0,3.0,30대,실버,재방문
243,7551.0,9.0,8.0,20대,일반,재방문
244,8609.0,7.0,9.0,30대,골드,재방문
245,3881.0,0.0,5.0,40대,골드,비재방문
246,13247.0,10.0,11.0,20대,실버,재방문
247,3615.0,5.0,7.0,20대,실버,재방문
248,3784.0,8.0,10.0,30대,일반,재방문
249,6809.0,5.0,10.0,20대,일반,재방문
250,8592.0,5.0,9.0,20대,골드,재방문
251,9357.0,8.0,9.0,50대이상,실버,재방문
252,5239.0,5.0,5.0,40대,골드,재방문
253,5403.0,10.0,12.0,20대,일반,재방문
254,8664.0,9.0,9.0,30대,일반,재방문
255,5477.0,1.0,18.0,20대,일반,재방문
256,12141.0,5.0,10.0,20대,실버,재방문
